question,opt1,opt2,opt3,correct,difficulty
What is the capital city of France?,London,Berlin,Madrid,Paris,Easy
Who painted the Mona Lisa?,Vincent van Gogh,Claude Monet,Michelangelo,Leonardo da Vinci,Easy
What is the largest planet in our solar system?,Mars,Saturn,Neptune,Jupiter,Easy
In what year did World War II end?,1940,1955,1935,1945,Easy
What is the chemical symbol for gold?,Ag,Pt,Na,Au,Easy
Who wrote the play Romeo and Juliet?,Leo Tolstoy,Charles Dickens,Mark Twain,William Shakespeare,Easy
Which element has the atomic number 1?,Helium,Carbon,Nitrogen,Hydrogen,Easy
What is the longest river in the world?,Amazon River,Mississippi River,Yangtze River,Nile River,Easy
Who was the first man to walk on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Easy
What is the national flower of Japan?,Rose,Tulip,Lily,Cherry blossom,Easy
In computing, what does “CPU” stand for?,Central Processing Utility,Computer Processing Unit,Central Program Unit,Central Processing Unit,Easy
Who is known as the “Father of Geometry”?,Archimedes,Pythagoras,Aristotle,Euclid,Easy
What is the hardest natural substance on Earth?,Graphite,Quartz,Topaz,Diamond,Easy
Which country is home to the kangaroo?,New Zealand,South Africa,Argentina,Australia,Easy
What is the largest mammal in the world?,African elephant,Whale shark,Giraffe,Blue whale,Easy
In which continent is the Sahara Desert located?,Asia,North America,Europe,Africa,Easy
Who discovered penicillin?,Albert Einstein,Louis Pasteur,Gregor Mendel,Alexander Fleming,Easy
What is the capital of Canada?,Vancouver,Toronto,Montreal,Ottawa,Easy
Which gas do humans exhale in respiration?,Oxygen,Nitrogen,Hydrogen,Carbon dioxide,Easy
Who is the author of Harry Potter?,Suzanne Collins,Stephen King,George R.R. Martin,J.K. Rowling,Easy
How many sides does a hexagon have?,Seven,Eight,Nine,Six,Easy
What is the currency of Japan?,Won,Dollar,Peso,Yen,Easy
Which ocean is the largest in the world?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Easy
What is the boiling point of water at sea level in Celsius?,90°C,120°C,50°C,100°C,Easy
Who was the first President of the United States?,Abraham Lincoln,Thomas Jefferson,John Kennedy,George Washington,Easy
In which sport is the term “love” used?,Basketball,Badminton,Golf,Tennis,Easy
What is the tallest mountain in the world?,K2,Mount Kilimanjaro,Mount Apo,Mount Everest,Easy
What is the main ingredient in guacamole?,Tomato,Onion,Avocado oil,Avocado,Easy
Who invented the telephone?,Thomas Edison,Nikola Tesla,Samuel Morse,Alexander Graham Bell,Easy
What is the capital of Italy?,Venice,Milan,Florence,Rome,Easy
Which metal is liquid at room temperature?,Iron,Copper,Gold,Mercury,Easy
How many players are there on a soccer team?,9,10,12,11,Easy
What is the largest island in the world?,Madagascar,Borneo,Australia,Greenland,Easy
Which animal is known as man’s best friend?,Cat,Horse,Parrot,Dog,Easy
What is the national animal of China?,Tiger,Rabbit,Dragon,Giant panda,Easy
What is the square root of 81?,7,11,6,9,Easy
Who was the first woman to win a Nobel Prize?,Rosalind Franklin,Dorothy Hodgkin,Ada Lovelace,Marie Curie,Easy
What is the fastest land animal?,Horse,Leopard,Sloth,Cheetah,Easy
In which country did the Olympic Games originate?,Italy,France,Spain,Greece,Easy
What is the freezing point of water in Fahrenheit?,20°F,10°F,0°F,32°F,Easy
Who is the Greek god of the sea?,Zeus,Hades,Apollo,Poseidon,Medium
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Medium
What does “WWW” stand for in a website address?,World Wide Webbing,World Wide Web Organization,World Web Wide,World Wide Web,Medium
Who was known as the “Maid of Orléans”?,Cleopatra,Marie Antoinette,Juliet Capulet,Joan of Arc,Medium
What is the chemical symbol for oxygen?,H2,O2O,Ox,O,Medium
How many planets are there in the solar system?,9,10,12,8,Medium
What is the capital of Egypt?,Istanbul,Dubai,Alexandria,Cairo,Medium
Who painted the Sistine Chapel ceiling?,Leonardo da Vinci,Raphael,Rembrandt,Michelangelo,Medium
Which blood type is known as the universal donor?,Type A,Type B,Type AB,Type O,Medium
What is the largest ocean animal?,Orca,Blue whale shark,Sperm whale,Blue whale,Medium
In which year did the Titanic sink?,1914,1939,1920,1912,Medium
Who was the British Prime Minister during World War II?,Margaret Thatcher,David Cameron,Elizabeth II,Winston Churchill,Medium
What is the currency of the United Kingdom?,Euro,European dollars,Shilling,Pound sterling,Medium
Which organ in the human body purifies blood?,Lungs,Heart,Liver,Kidneys,Medium
What is the capital city of Russia?,St. Petersburg,Moscow,Kazan,Moscow,Medium
Which bird is known for its ability to mimic human speech?,Peacock,Dove,Crow,Parrot,Medium
What is the capital of South Korea?,Busan,Pyongyang,Incheon,Seoul,Medium
What is the smallest prime number?,1,3,5,2,Medium
Who invented the light bulb?,Alexander Graham Bell,James Watt,Michael Faraday,Thomas Edison,Medium
What is the largest desert in the world?,Gobi Desert,Kalahari Desert,Sahara Desert,Antarctica,Medium
Which is the largest internal organ in the human body?,Stomach,Intestines,Heart,Liver,Medium
In which country is the Great Pyramid of Giza located?,Mexico,Peru,Sudan,Egypt,Medium
Who is the current monarch of the United Kingdom (as of 2025)?,Prince William,King Charles II,Queen Elizabeth II,King Charles III,Medium
What is the chemical formula for water?,HO,H2O2,HHO,H₂O,Medium
Who wrote The Odyssey?,Virgil,Sophocles,Zeus,Homer,Medium
What is the capital of Brazil?,Rio de Janeiro,Amapa,São Paulo,Brasília,Medium
How many stripes are there on the US flag?,25,50,15,13,Medium
What is the national sport of Japan?,Taekwondo,Judo,Sumo wrestling,Sumo,Medium
Who is known as the “Queen of Pop”?,Beyoncé,Taylor Swift,Lady Gaga,Madonna,Medium
Which is the smallest country in the world?,Monaco,Liechtenstein,Tuvalu,Vatican City,Medium
Which planet is known as the “Red Planet”?,Venus,Jupiter,Mercury,Mars,Medium
What is the capital of Spain?,Barcelona,Toledo,Seville,Madrid,Medium
Who developed the theory of relativity?,Isaac Newton,Galileo Galilei,Stephen Hawking,Albert Einstein,Medium
Which animal is known as the “King of the Jungle”?,Elephant,Tiger,Leopard,Lion,Medium
How many bones are there in the adult human body?,150,260,602,206,Medium
Which is the most spoken language in the world?,Spanish,Hindi,English,Mandarin Chinese,Medium
What is the capital of Thailand?,Krabi,Chiang Mai,Phuket,Bangkok,Medium
What does the Roman numeral “X” represent?,50,100,5,10,Medium
What is the main ingredient in hummus?,Rice,Garlic,Sesame seeds,Chickpeas,Medium
Who was the first woman to fly solo across the Atlantic Ocean?,Valentina Tereshkova,Katherine Sullivan,Bessie Coleman,Amelia Earhart,Difficult
What is the tallest building in the world (as of 2025)?,Shanghai Tower,One World Trade Center,Taipei 101,Burj Khalifa,Difficult
What is the capital of Germany?,Munich,Hamburg,Frankfurt,Berlin,Difficult
Which is the longest bone in the human body?,Spine,Femur,Tibia,Femur,Difficult
Who wrote Pride and Prejudice?,Charlotte Brontë,Emily Brontë,Mary Shelley,Jane Austen,Difficult
What is the capital of Argentina?,Santiago,Rosario,Salta,Buenos Aires,Difficult
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,Difficult
What is the national currency of India?,Taka,Lira,Dinar,Rupee,Difficult
Who painted Starry Night?,Pablo Picasso,Claude Monet,Leonardo da Vinci,Vincent van Gogh,Difficult
What is the main language spoken in Brazil?,Spanish,French,English,Portuguese,Difficult
What is the capital of Turkey?,Athens,Istanbul,Bursa,Ankara,Difficult
Which vitamin is produced when a person is exposed to sunlight?,Vitamin C,Vitamin B12,Vitamin A,Vitamin D,Difficult
Who was the first emperor of China?,Genghis Khan,Kublai Khan,Xi Jin Ping,Qin Shi Huang,Difficult
What is the capital of Mexico?,Guadalajara,Monterrey,Oaxaca,Mexico City,Difficult
What is the main ingredient in traditional sushi?,Chicken,Fish,Seaweed,Rice,Difficult
Who is the Norse god of thunder?,Odin,Loki,Freya,Thor,Difficult
What is the capital of Kenya?,Meru,Mombasa,Kigali,Nairobi,Difficult
Which country invented paper?,Greece,Egypt,Philippines,China,Difficult
How many continents are there in the world?,5,6,4,7,Difficult
What is the currency of South Africa?,Dollar,Peso,Euro,Rand,Difficult
Who discovered America in 1492?,Marco Polo,Amerigo Vespucci,Ferdinand Magellan,Christopher Columbus,Difficult
What is the capital of Sweden?,Copenhagen,Helsinki,Uppsala,Stockholm,Difficult
Which organ is responsible for pumping blood in the body?,Lungs,Liver,Kidneys,Heart,Difficult
What is the capital of New Zealand?,Hamilton,Auckland,Christchurch,Wellington,Difficult
Which physicist is known as the “father of modern physics”?,Niels Bohr,Max Planck,Galileo Galilei,Albert Einstein,Difficult
What is the capital of Saudi Arabia?,Dubai,Mecca,Doha,Riyadh,Difficult
Which is the smallest planet in the solar system?,Venus,Uranus,Mars,Mercury,Difficult
Who was the Greek goddess of wisdom?,Hera,Artemis,Hermes,Athena,Difficult
What is the currency of Switzerland?,Euro,Switz,Dollar,Swiss franc,Difficult
Which scientist proposed the three laws of motion?,Galileo Galilei,Albert Einstein,Stephen Hawking,Isaac Newton,Difficult
What is the capital of Norway?,Copenhagen,Molde,Stockholm,Oslo,Difficult
Which is the deepest ocean?,Atlantic Ocean,Indian Ocean,Antarctic Ocean,Pacific Ocean,Difficult
Who was the first African-American president of the United States?,George Washington,John Kennedy,Martin Luther King Jr.,Barack Obama,Difficult
What is the chemical symbol for sodium?,So,Na,S,N,Difficult
Which continent is known as the “Dark Continent”?,Asia,South America,Europe,Africa,Difficult
Who wrote The Divine Comedy?,Homer,Dante Al-ghoru,Sophocles,Dante Alighieri,Difficult
What is the capital of the Philippines?,Cebu,Davao,Batanes,Manila,Difficult
What is the process by which plants make their food?,Respiration,Transpiration,Choloropyll,Photosynthesis,Difficult
Which ancient wonder was located in Babylon?,Great Pyramid,Colossus of Rhodes,Temple of Artemis,Hanging Gardens,Difficult
What is the largest moon of Saturn?,Io,Dione,Europa,Titan,Difficult
Which famous scientist discovered gravity after observing a falling apple?,Alexander Fleming,Charles Darwin,Nicolaus Copernicus,Isaac Newton,Difficult
